gene_chrom	gene_start	gene_end	gene	TAD_chrom	TAD_bp1	TAD_bp2	TAD_ID
chr3	43690108	43734371	ABHD5	chr3	43540000	44230000	TAD_2294
chr3	52903572	53046750	SFMBT1	chr3	52730000	53090000	TAD_2481
chr3	50674927	51384198	DOCK3	chr3	50620000	51370000	TAD_2276
chr3	69168782	69542583	FRMD4B	chr3	69120000	69430000	TAD_2346
chr3	62398346	62875416	CADPS	chr3	62330000	62580000	TAD_2348
chr3	73382431	73624941	PDZRN3	chr3	73100000	73440000	TAD_2400
chr3	62369681	62374324	FEZF2	chr3	62330000	62580000	TAD_2348
chr3	108907792	108953879	GUCA1C	chr3	108640000	108950000	TAD_2314
chr3	105366909	105576900	ALCAM	chr3	104560000	105400000	TAD_2279
chr3	71675414	71754773	EIF4E3	chr3	70520000	71680000	TAD_2285
chr3	45224466	45226287	TMEM158	chr3	45030000	45490000	TAD_2356
chr3	112332347	112362812	CD200	chr3	112280000	112520000	TAD_2326
chr3	57197838	57227606	HESX1	chr3	57080000	57860000	TAD_2288
chr3	119498547	119525090	TIMMDC1	chr3	119490000	119690000	TAD_2528
chr3	49724294	49786542	IP6K1	chr3	49520000	50200000	TAD_2324
chr3	119597875	119629811	PLA1A	chr3	119490000	119690000	TAD_2528
chr3	45082277	45146422	CDCP1	chr3	45030000	45490000	TAD_2356
chr3	45082277	45146422	CDCP1	chr3	45040000	45220000	TAD_2514
chr3	119524293	119559614	CD80	chr3	119490000	119690000	TAD_2528
chr3	113286930	113441610	CFAP44	chr3	113030000	113300000	TAD_2341
chr3	58505136	58537283	ACOX2	chr3	58300000	58540000	TAD_2354
chr3	118900557	119146068	IGSF11	chr3	118870000	119090000	TAD_2321
chr3	30606601	30694142	TGFBR2	chr3	30080000	30740000	TAD_2299
chr3	32951644	32956349	CCR4	chr3	32940000	33110000	TAD_2504
chr3	125446650	125520202	SNX4	chr3	125440000	125580000	TAD_2425
chr3	127571232	127598267	TPRA1	chr3	127570000	128000000	TAD_2427
chr3	112463966	112499472	BTLA	chr3	112280000	112520000	TAD_2326
chr3	108822770	108855005	TRAT1	chr3	108640000	108950000	TAD_2314
chr3	50155045	50189075	SEMA3F	chr3	49520000	50200000	TAD_2324
chr3	141738249	141747560	RNF7	chr3	141570000	141940000	TAD_2395
chr3	125528858	125595497	OSBPL11	chr3	125440000	125580000	TAD_2425
chr3	123067025	123225227	PDIA5	chr3	123030000	123260000	TAD_2536
chr3	136946230	137011085	IL20RB	chr3	136760000	137010000	TAD_2379
chr3	121987323	122022247	ILDR1	chr3	121530000	122350000	TAD_2275
chr3	123490820	123585053	HACD2	chr3	123300000	123560000	TAD_2453
chr3	57227726	57278105	APPL1	chr3	57080000	57860000	TAD_2288
chr3	137764315	137766334	SOX14	chr3	137070000	137970000	TAD_2272
chr3	111070071	111275563	NECTIN3	chr3	109440000	111540000	TAD_2259
chr3	64092236	64445476	PRICKLE2	chr3	64020000	64490000	TAD_2404
chr3	147393422	147510293	ZIC1	chr3	147240000	148080000	TAD_2284
chr3	160755602	161078902	PPM1L	chr3	160680000	160940000	TAD_2443
chr3	119294383	119420714	ARHGAP31	chr3	119250000	119400000	TAD_2533
chr3	122680839	122730840	PARP14	chr3	122380000	122690000	TAD_2323
chr3	63228315	63616924	SYNPR	chr3	62620000	63230000	TAD_2287
chr3	136862208	136951606	NCK1	chr3	136760000	137010000	TAD_2379
chr3	154121003	154257827	ARHGEF26	chr3	154040000	154270000	TAD_2430
chr3	143265222	143848485	SLC9A9	chr3	143060000	143700000	TAD_2295
chr3	131026850	131350465	NEK11	chr3	131020000	132200000	TAD_2262
chr3	172505508	172523475	TNFSF10	chr3	172360000	172710000	TAD_2381
chr3	136818647	136855888	SLC35G2	chr3	136760000	137010000	TAD_2379
chr3	172889357	173141235	SPATA16	chr3	172810000	173050000	TAD_2390
chr3	141876124	141926549	ATP1B3	chr3	141570000	141940000	TAD_2395
chr3	141876124	141926549	ATP1B3	chr3	141740000	141910000	TAD_2539
chr3	128153481	128408646	EEFSEC	chr3	128140000	128600000	TAD_2410
chr3	181711925	181714436	SOX2	chr3	181700000	182680000	TAD_2277
chr3	169083499	169663775	MECOM	chr3	169030000	169740000	TAD_2293
chr3	157259742	157533619	VEPH1	chr3	157180000	157500000	TAD_2351
chr3	143119771	143124014	CHST2	chr3	143060000	143700000	TAD_2295
chr3	172443291	172448456	GHSR	chr3	172360000	172710000	TAD_2381
chr3	156673235	156706770	TIPARP	chr3	156530000	157140000	TAD_2297
chr3	183635610	183684519	KLHL24	chr3	183460000	183770000	TAD_2455
chr3	57089982	57170306	IL17RD	chr3	57080000	57860000	TAD_2288
chr3	120628172	120682269	HGD	chr3	120560000	120790000	TAD_2357
chr3	140678064	140701150	TRIM42	chr3	140560000	140740000	TAD_2538
chr3	186105668	186362234	DGKG	chr3	185980000	186250000	TAD_2471
chr3	183487551	183555706	KLHL6	chr3	183460000	183770000	TAD_2455
chr3	183253253	183298504	B3GNT5	chr3	183120000	183390000	TAD_2402
chr3	194136148	194138732	HES1	chr3	193650000	194330000	TAD_2300
chr3	194136148	194138732	HES1	chr3	193750000	194320000	TAD_2309
chr3	142157527	142225592	GK5	chr3	141950000	142310000	TAD_2377
chr3	142157527	142225592	GK5	chr3	142120000	142280000	TAD_2525
chr3	196291219	196318299	DYNLT2B	chr3	196250000	196500000	TAD_2507
chr3	185190624	185281990	EHHADH	chr3	184850000	185200000	TAD_2355
chr3	184135038	184146127	EIF2B5	chr3	183890000	184290000	TAD_2384
chr3	184135038	184146127	EIF2B5	chr3	184130000	184290000	TAD_2535
chr3	72749277	72861914	SHQ1	chr3	71860000	72830000	TAD_2298
chr3	183697797	183812624	YEATS2	chr3	183460000	183770000	TAD_2455
chr3	185582496	185633551	SENP2	chr3	185310000	185590000	TAD_2330
chr3	197509783	197573323	BDH1	chr3	197230000	197520000	TAD_2376
chr3	196468783	196503768	RNF168	chr3	196250000	196500000	TAD_2507
chr3	196197452	196211437	ZDHHC19	chr3	196030000	196210000	TAD_2387
chr3	185476496	185499057	TMEM41A	chr3	185310000	185590000	TAD_2330
chr3	196347662	196432430	UBXN7	chr3	196250000	196500000	TAD_2507
chr3	186842704	186858463	ADIPOQ	chr3	186840000	187160000	TAD_2367
chr3	186046314	186110318	ETV5	chr3	185980000	186250000	TAD_2471
chr3	153162226	153170627	RAP2B	chr3	153000000	153790000	TAD_2282
chr3	184561785	184582408	EPHB3	chr3	184360000	184800000	TAD_2322
chr3	184561785	184582408	EPHB3	chr3	184550000	184790000	TAD_2457
chr3	185506262	185552588	LIPH	chr3	185310000	185590000	TAD_2330
chr3	111292719	111665750	CD96	chr3	109440000	111540000	TAD_2259
chr3	142964497	143060725	U2SURP	chr3	142820000	142990000	TAD_2386
chr3	148865296	148897203	CPA3	chr3	148290000	148940000	TAD_2281
chr3	148991408	149031775	GYG1	chr3	148960000	149100000	TAD_2392
chr3	149030127	149086554	HLTF	chr3	148960000	149100000	TAD_2392
chr3	149129638	149173732	HPS3	chr3	149110000	149270000	TAD_2409
chr3	88149959	88168729	C3orf38	chr3	88000000	88170000	TAD_2436
chr3	134599923	134651636	KY	chr3	134560000	134760000	TAD_2459
chr3	48856926	48898904	SLC25A20	chr3	48690000	48960000	TAD_2544
chr3	157436850	157443633	PTX3	chr3	157180000	157500000	TAD_2351
chr3	63833870	63863868	THOC7	chr3	63820000	64010000	TAD_2369
chr3	114276913	114310288	TIGIT	chr3	114230000	115810000	TAD_2258
chr3	24117153	24495756	THRB	chr3	23990000	24240000	TAD_2438
chr3	129167827	129183922	CNBP	chr3	128960000	129300000	TAD_2477
chr3	114234631	114237578	ZNF80	chr3	114230000	115810000	TAD_2258
chr3	172630249	172711218	NCEH1	chr3	172360000	172710000	TAD_2381
chr3	196319342	196338503	TM4SF19	chr3	196250000	196500000	TAD_2507
chr3	131381671	131388830	NUDT16	chr3	131020000	132200000	TAD_2262
chr3	120684938	120742993	RABL3	chr3	120560000	120790000	TAD_2357
chr3	63863155	64003462	ATXN7	chr3	63820000	64010000	TAD_2369
chr3	167239843	167407874	ZBBX	chr3	165840000	167270000	TAD_2261
chr3	100492619	100577444	TMEM45A	chr3	100460000	100590000	TAD_2497
chr3	128693669	128825942	RAB7A	chr3	128620000	128880000	TAD_2499
chr3	25718944	25790039	NGLY1	chr3	25630000	25850000	TAD_2415
chr3	25782917	25794534	OXSM	chr3	25630000	25850000	TAD_2415
chr3	184242301	184249548	ALG3	chr3	183890000	184290000	TAD_2384
chr3	184242301	184249548	ALG3	chr3	184130000	184290000	TAD_2535
chr3	184249672	184258759	EEF1AKMT4	chr3	183890000	184290000	TAD_2384
chr3	184249672	184258759	EEF1AKMT4	chr3	184130000	184290000	TAD_2535
chr3	184259213	184261553	CAMK2N2	chr3	183890000	184290000	TAD_2384
chr3	184259213	184261553	CAMK2N2	chr3	184130000	184290000	TAD_2535
chr3	38039205	38124025	DLEC1	chr3	38000000	38490000	TAD_2306
chr3	38103129	38137242	ACAA1	chr3	38000000	38490000	TAD_2306
chr3	46574534	46582457	TDGF1	chr3	46480000	46640000	TAD_2529
chr3	46712117	46717869	PRSS50	chr3	46700000	46890000	TAD_2483
chr3	46877721	46903799	PTH1R	chr3	46700000	46890000	TAD_2483
chr3	46979666	47009704	NBEAL2	chr3	46920000	47370000	TAD_2458
chr3	38453890	38493142	ACVR2B	chr3	38000000	38490000	TAD_2306
chr3	38453890	38493142	ACVR2B	chr3	38340000	38490000	TAD_2406
chr3	179396088	179451476	GNB4	chr3	179360000	179580000	TAD_2364
chr3	179562886	179588407	ACTL6A	chr3	179360000	179580000	TAD_2364
chr3	194685883	194689037	FAM43A	chr3	194670000	195110000	TAD_2399
chr3	4979437	4985323	BHLHE40	chr3	4700000	5060000	TAD_2371
chr3	184710364	184712064	MAGEF1	chr3	184360000	184800000	TAD_2322
chr3	184710364	184712064	MAGEF1	chr3	184550000	184790000	TAD_2457
chr3	185076838	185153060	C3orf70	chr3	184850000	185200000	TAD_2355
chr3	190305707	190322446	CLDN1	chr3	190210000	190420000	TAD_2433
chr3	190322541	190412138	CLDN16	chr3	190210000	190420000	TAD_2433
chr3	130850595	131016712	ATP2C1	chr3	130750000	130890000	TAD_2476
chr3	62319015	62336213	CEP15	chr3	62200000	62320000	TAD_2444
chr3	38007496	38029642	PLCD1	chr3	38000000	38490000	TAD_2306
chr3	156539553	156555149	SSR3	chr3	156530000	157140000	TAD_2297
chr3	155375580	155745071	PLCH1	chr3	155350000	155710000	TAD_2331
chr3	149517235	149736714	WWTR1	chr3	149510000	149720000	TAD_2420
chr3	147386046	147406809	ZIC4	chr3	147240000	148080000	TAD_2284
chr3	184371935	184381968	THPO	chr3	184360000	184540000	TAD_2421
chr3	184371935	184381968	THPO	chr3	184360000	184800000	TAD_2322
chr3	56727418	57079329	ARHGEF3	chr3	56680000	56990000	TAD_2344
chr3	113532555	113629575	SIDT1	chr3	113480000	113640000	TAD_2469
chr3	9757347	9769992	CAMK1	chr3	9710000	9950000	TAD_2540
chr3	9890574	9894349	JAGN1	chr3	9710000	9950000	TAD_2540
chr3	9902612	9916402	IL17RE	chr3	9710000	9950000	TAD_2540
chr3	49416778	49422685	AMT	chr3	49090000	49460000	TAD_2463
chr3	49416778	49422685	AMT	chr3	49300000	49450000	TAD_2516
chr3	49554477	49671549	BSN	chr3	49520000	49680000	TAD_2485
chr3	49554477	49671549	BSN	chr3	49520000	50200000	TAD_2324
chr3	49674014	49683971	APEH	chr3	49520000	49680000	TAD_2485
chr3	49674014	49683971	APEH	chr3	49520000	50200000	TAD_2324
chr3	49689538	49721529	RNF123	chr3	49520000	50200000	TAD_2324
chr3	49716829	49719684	AMIGO3	chr3	49520000	50200000	TAD_2324
chr3	49716844	49723973	GMPPB	chr3	49520000	50200000	TAD_2324
chr3	9866711	9880255	CIDEC	chr3	9710000	9950000	TAD_2540
chr3	47282917	47346816	KLHL18	chr3	46920000	47370000	TAD_2458
chr3	139452884	139480747	RBP2	chr3	139390000	139570000	TAD_2408
chr3	120324509	120349354	LRRC58	chr3	120230000	120550000	TAD_2368
chr3	120324509	120349354	LRRC58	chr3	120240000	120400000	TAD_2522
chr3	32817997	32897824	TRIM71	chr3	32720000	32920000	TAD_2519
chr3	12153068	12158912	TIMP4	chr3	12120000	12470000	TAD_2441
chr3	146192335	146251179	PLSCR4	chr3	146190000	146330000	TAD_2388
chr3	146515180	146544856	PLSCR1	chr3	146380000	146580000	TAD_2363
chr3	51955381	51957499	GPR62	chr3	51940000	52140000	TAD_2412
chr3	51983340	51989197	ACY1	chr3	51940000	52140000	TAD_2412
chr3	51993522	51995895	RPL29	chr3	51940000	52140000	TAD_2412
chr3	52048919	52056571	DUSP7	chr3	51940000	52140000	TAD_2412
chr3	52075226	52154690	POC1A	chr3	51940000	52140000	TAD_2412
chr3	52228612	52246788	TWF2	chr3	52210000	52400000	TAD_2551
chr3	52245759	52250599	PPM1M	chr3	52210000	52400000	TAD_2551
chr3	52254434	52288020	WDR82	chr3	52210000	52400000	TAD_2551
chr3	52287089	52295257	GLYCTK	chr3	52210000	52400000	TAD_2551
chr3	187120948	187180908	RPL39L	chr3	186840000	187160000	TAD_2367
chr3	186930325	187078553	ST6GAL1	chr3	186840000	187160000	TAD_2367
chr3	126342635	126357408	KLF15	chr3	126240000	126400000	TAD_2487
chr3	126394909	126436556	CFAP100	chr3	126240000	126400000	TAD_2487
chr3	126526999	126558965	C3orf22	chr3	126500000	126650000	TAD_2546
chr3	84958989	86074429	CADM2	chr3	84450000	85620000	TAD_2260
chr3	49095932	49105130	QARS1	chr3	49090000	49460000	TAD_2463
chr3	49121114	49133118	LAMB2	chr3	49090000	49460000	TAD_2463
chr3	49162535	49166331	CCDC71	chr3	49090000	49460000	TAD_2463
chr3	49171598	49176486	KLHDC8B	chr3	49090000	49460000	TAD_2463
chr3	49177634	49191858	C3orf84	chr3	49090000	49460000	TAD_2463
chr3	150926163	150972727	CLRN1	chr3	150890000	151150000	TAD_2506
chr3	132558138	132660082	ACAD11	chr3	132500000	132710000	TAD_2320
chr3	132597270	132618967	ACKR4	chr3	132500000	132710000	TAD_2320
chr3	12733528	12769457	TMEM40	chr3	12490000	12880000	TAD_2385
chr3	12834485	12841582	RPL32	chr3	12490000	12880000	TAD_2385
chr3	49268596	49277232	C3orf62	chr3	49090000	49460000	TAD_2463
chr3	49277144	49340712	USP4	chr3	49090000	49460000	TAD_2463
chr3	194587673	194633689	TMEM44	chr3	194410000	194630000	TAD_2328
chr3	184276011	184293031	ECE2	chr3	183890000	184290000	TAD_2384
chr3	184276011	184293031	ECE2	chr3	184130000	184290000	TAD_2535
chr3	51957454	51974016	PCBP4	chr3	51940000	52140000	TAD_2412
chr3	142306607	142448062	XRN1	chr3	141950000	142310000	TAD_2377
chr3	119636457	119665324	POPDC2	chr3	119490000	119690000	TAD_2528
chr3	119654513	119677454	COX17	chr3	119490000	119690000	TAD_2528
chr3	50362613	50504244	CACNA2D2	chr3	50360000	50560000	TAD_2480
chr3	48918821	48986382	ARIH2	chr3	48690000	48960000	TAD_2544
chr3	134477706	134486716	ANAPC13	chr3	134190000	134490000	TAD_2373
chr3	134477706	134486716	ANAPC13	chr3	134300000	134480000	TAD_2349
chr3	134355347	134375479	AMOTL2	chr3	134190000	134490000	TAD_2373
chr3	134355347	134375479	AMOTL2	chr3	134300000	134480000	TAD_2349
chr3	125082636	125212864	SLC12A8	chr3	124970000	125430000	TAD_2302
chr3	125082636	125212864	SLC12A8	chr3	124980000	125170000	TAD_2526
chr3	120164645	120285222	GPR156	chr3	119860000	120190000	TAD_2439
chr3	88051944	88149885	CGGBP1	chr3	88000000	88170000	TAD_2436
chr3	88059255	88144660	ZNF654	chr3	88000000	88170000	TAD_2436
chr3	189631389	189897276	TP63	chr3	189250000	189930000	TAD_2286
chr3	148791102	148860187	CPB1	chr3	148290000	148940000	TAD_2281
chr3	148697784	148743008	AGTR1	chr3	148290000	148940000	TAD_2281
chr3	58306245	58324695	RPP14	chr3	58300000	58540000	TAD_2354
chr3	58332880	58426127	PXK	chr3	58300000	58540000	TAD_2354
chr3	58427630	58433857	PDHB	chr3	58300000	58540000	TAD_2354
chr3	179604690	179627647	NDUFB5	chr3	179590000	179770000	TAD_2490
chr3	179653032	179804366	USP13	chr3	179590000	179770000	TAD_2490
chr3	58306262	58320193	HTD2	chr3	58300000	58540000	TAD_2354
chr3	186538441	186546702	CRYGS	chr3	186280000	186540000	TAD_2500
chr3	49359139	49412998	RHOA	chr3	49090000	49460000	TAD_2463
chr3	49359139	49412998	RHOA	chr3	49300000	49450000	TAD_2516
chr3	128879596	128924003	ACAD9	chr3	128620000	128880000	TAD_2499
chr3	129060779	129062406	GP9	chr3	128960000	129300000	TAD_2477
chr3	129087569	129122801	RAB43	chr3	128960000	129300000	TAD_2477
chr3	129127415	129161063	ISY1	chr3	128960000	129300000	TAD_2477
chr3	45940933	45948351	CXCR6	chr3	45930000	46070000	TAD_2492
chr3	42547969	42601080	SEC22C	chr3	42540000	42890000	TAD_2336
chr3	42581840	42596934	SS18L2	chr3	42540000	42890000	TAD_2336
chr3	42685537	42692544	KLHL40	chr3	42540000	42890000	TAD_2336
chr3	42692663	42702824	HHATL	chr3	42540000	42890000	TAD_2336
chr3	42705756	42773253	CCDC13	chr3	42540000	42890000	TAD_2336
chr3	42782908	42804490	HIGD1A	chr3	42540000	42890000	TAD_2336
chr3	42782908	42804490	HIGD1A	chr3	42770000	42890000	TAD_2440
chr3	42804752	42887974	ACKR2	chr3	42540000	42890000	TAD_2336
chr3	42804752	42887974	ACKR2	chr3	42770000	42890000	TAD_2440
chr3	42856005	42875898	CYP8B1	chr3	42540000	42890000	TAD_2336
chr3	42856005	42875898	CYP8B1	chr3	42770000	42890000	TAD_2440
chr3	42653697	42667580	ZBTB47	chr3	42540000	42890000	TAD_2336
chr3	51942345	51948867	PARP3	chr3	51940000	52140000	TAD_2412
chr3	15254353	15341368	SH3BP5	chr3	15240000	15390000	TAD_2417
chr3	15381275	15440566	METTL6	chr3	15240000	15390000	TAD_2417
chr3	15427598	15450635	EAF1	chr3	15420000	15560000	TAD_2414
chr3	15450133	15521751	COLQ	chr3	15420000	15560000	TAD_2414
chr3	48403854	48430086	PLXNB1	chr3	48190000	48430000	TAD_2532
chr3	12557057	12586208	MKRN2	chr3	12490000	12880000	TAD_2385
chr3	12557057	12586208	MKRN2	chr3	12520000	12690000	TAD_2505
chr3	179148114	179240093	PIK3CA	chr3	179140000	179310000	TAD_2449
chr3	9792495	9807101	ARPC4	chr3	9710000	9950000	TAD_2540
chr3	126571779	126655124	TXNRD3	chr3	126500000	126650000	TAD_2546
chr3	51968510	51983409	ABHD14B	chr3	51940000	52140000	TAD_2412
chr3	52221080	52225645	TLR9	chr3	52210000	52400000	TAD_2551
chr3	36380503	36548007	STAC	chr3	35960000	36700000	TAD_2283
chr3	146576555	146605346	PLSCR5	chr3	146380000	146580000	TAD_2363
chr3	52451100	52454041	TNNC1	chr3	52450000	52700000	TAD_2518
chr3	52455118	52493068	NISCH	chr3	52450000	52700000	TAD_2518
chr3	52316319	52400492	DNAH1	chr3	52210000	52400000	TAD_2551
chr3	47562238	47580792	CSPG5	chr3	47520000	47790000	TAD_2508
chr3	158105855	158545730	RSRC1	chr3	157580000	158530000	TAD_2270
chr3	132680609	132722432	NPHP3	chr3	132500000	132710000	TAD_2320
chr3	48157146	48188417	CDC25A	chr3	47820000	48170000	TAD_2511
chr3	48223347	48225491	CAMP	chr3	48190000	48430000	TAD_2532
chr3	48241100	48299253	ZNF589	chr3	48190000	48430000	TAD_2532
chr3	48290722	48301685	NME6	chr3	48190000	48430000	TAD_2532
chr3	48372219	48401259	FBXW12	chr3	48190000	48430000	TAD_2532
chr3	142949164	142963674	PAQR9	chr3	142820000	142990000	TAD_2386
chr3	132654446	132679794	UBA5	chr3	132500000	132710000	TAD_2320
chr3	98130721	98138548	OR5H1	chr3	98050000	98330000	TAD_2361
chr3	98147479	98156614	OR5H14	chr3	98050000	98330000	TAD_2361
chr3	98263252	98265356	OR5H6	chr3	98050000	98330000	TAD_2361
chr3	9731729	9748019	BRPF1	chr3	9710000	9950000	TAD_2540
chr3	45388561	45554726	LARS2	chr3	45030000	45490000	TAD_2356
chr3	45555394	45686341	LIMD1	chr3	45500000	45670000	TAD_2437
chr3	46612525	46626543	FAM240A	chr3	46480000	46640000	TAD_2529
chr3	46494611	46500950	RTP3	chr3	46480000	46640000	TAD_2529
chr3	46515385	46606948	LRRC2	chr3	46480000	46640000	TAD_2529
chr3	9933793	9945413	CRELD1	chr3	9710000	9950000	TAD_2540
chr3	12287368	12434356	PPARG	chr3	12120000	12470000	TAD_2441
chr3	53812335	53846419	CHDH	chr3	53720000	53890000	TAD_2545
chr3	53846568	53865794	IL17RB	chr3	53720000	53890000	TAD_2545
chr3	53867066	53882152	ACTR8	chr3	53720000	53890000	TAD_2545
chr3	124761948	124901418	ITGB5	chr3	124750000	124910000	TAD_2329
chr3	124905442	124953819	MUC13	chr3	124750000	124910000	TAD_2329
chr3	58008398	58172251	FLNB	chr3	57950000	58170000	TAD_2464
chr3	124033369	124726325	KALRN	chr3	123990000	124550000	TAD_2303
chr3	124033369	124726325	KALRN	chr3	124010000	124290000	TAD_2512
chr3	121567949	121590622	ARGFX	chr3	121530000	122350000	TAD_2275
chr3	121593379	121630295	FBXO40	chr3	121530000	122350000	TAD_2275
chr3	9362971	9386791	THUMPD3	chr3	9340000	9480000	TAD_2318
chr3	183178041	183428778	MCF2L2	chr3	183120000	183390000	TAD_2402
chr3	152243828	152465780	MBNL1	chr3	152230000	152440000	TAD_2431
chr3	108743424	108757410	RETNLB	chr3	108640000	108950000	TAD_2314
chr3	38282294	38318575	SLC22A14	chr3	38000000	38490000	TAD_2306
chr3	38282294	38318575	SLC22A14	chr3	38120000	38290000	TAD_2549
chr3	102099244	102479841	ZPLD1	chr3	101800000	102220000	TAD_2325
chr3	12514934	12561059	MKRN2OS	chr3	12490000	12880000	TAD_2385
chr3	9779967	9793011	TADA3	chr3	9710000	9950000	TAD_2540
chr3	30726197	30894661	GADL1	chr3	30080000	30740000	TAD_2299
chr3	4493345	4847506	ITPR1	chr3	4310000	4650000	TAD_2394
chr3	4493345	4847506	ITPR1	chr3	4470000	4630000	TAD_2503
chr3	129001304	129040742	EFCC1	chr3	128960000	129300000	TAD_2477
chr3	113211003	113287459	BOC	chr3	113030000	113300000	TAD_2341
chr3	141324213	141449792	ZBTB38	chr3	141300000	141450000	TAD_2337
chr3	141763408	141819352	GRK7	chr3	141570000	141940000	TAD_2395
chr3	141763408	141819352	GRK7	chr3	141740000	141910000	TAD_2539
chr3	14402576	14489349	SLC6A6	chr3	14200000	14480000	TAD_2451
chr3	15667236	15859771	ANKRD28	chr3	15610000	15810000	TAD_2389
chr3	99828811	100114513	FILIP1L	chr3	99820000	100250000	TAD_2365
chr3	129249606	129277773	COPG1	chr3	128960000	129300000	TAD_2477
chr3	129278828	129306186	HMCES	chr3	128960000	129300000	TAD_2477
chr3	129430947	129440179	MBD4	chr3	129370000	129620000	TAD_2491
chr3	129528639	129535344	RHO	chr3	129370000	129620000	TAD_2491
chr3	129528639	129535344	RHO	chr3	129480000	129620000	TAD_2496
chr3	129543175	129551467	H1	chr3	129370000	129620000	TAD_2491
chr3	129543175	129551467	H1	chr3	129480000	129620000	TAD_2496
chr3	129555214	129606676	PLXND1	chr3	129370000	129620000	TAD_2491
chr3	129555214	129606676	PLXND1	chr3	129480000	129620000	TAD_2496
chr3	134485699	134587789	CEP63	chr3	134190000	134490000	TAD_2373
chr3	47227998	47283451	KIF9	chr3	46920000	47370000	TAD_2458
chr3	46921726	46982010	CCDC12	chr3	46920000	47370000	TAD_2458
chr3	44338119	44409451	TCAIM	chr3	44300000	44510000	TAD_2372
chr3	185914558	185938103	TRA2B	chr3	185650000	185930000	TAD_2403
chr3	158696892	158732489	RARRES1	chr3	158640000	158800000	TAD_2435
chr3	158732198	158829719	MFSD1	chr3	158640000	158800000	TAD_2435
chr3	158962928	159266307	IQCJ	chr3	158850000	159260000	TAD_2311
chr3	70954693	71583978	FOXP1	chr3	70520000	71680000	TAD_2285
chr3	70954693	71583978	FOXP1	chr3	70700000	71660000	TAD_2292
chr3	37988059	38007188	VILL	chr3	37830000	37990000	TAD_2397
chr3	131462212	131502983	MRPL3	chr3	131020000	132200000	TAD_2262
chr3	131533555	132285410	CPNE4	chr3	131020000	132200000	TAD_2262
chr3	184229585	184242329	VWA5B2	chr3	183890000	184290000	TAD_2384
chr3	184229585	184242329	VWA5B2	chr3	184130000	184290000	TAD_2535
chr3	49198428	49258106	IHO1	chr3	49090000	49460000	TAD_2463
chr3	127598410	127622436	MCM2	chr3	127570000	128000000	TAD_2427
chr3	127629185	127672802	PODXL2	chr3	127570000	128000000	TAD_2427
chr3	127672935	127680926	ABTB1	chr3	127570000	128000000	TAD_2427
chr3	127915232	127987671	KBTBD12	chr3	127570000	128000000	TAD_2427
chr3	127689062	128052190	MGLL	chr3	127570000	128000000	TAD_2427
chr3	127689062	128052190	MGLL	chr3	127680000	127820000	TAD_2558
chr3	121631399	121660927	HCLS1	chr3	121530000	122350000	TAD_2275
chr3	121769761	121835079	IQCB1	chr3	121530000	122350000	TAD_2275
chr3	121835183	121886526	EAF2	chr3	121530000	122350000	TAD_2275
chr3	121894401	121944188	SLC15A2	chr3	121530000	122350000	TAD_2275
chr3	123610049	123884332	MYLK	chr3	123610000	123730000	TAD_2527
chr3	48306842	48333661	SPINK8	chr3	48190000	48430000	TAD_2532
chr3	158095905	158106420	SHOX2	chr3	157580000	158530000	TAD_2270
chr3	78597239	79767998	ROBO1	chr3	77290000	78650000	TAD_2266
chr3	98166696	98169774	OR5H15	chr3	98050000	98330000	TAD_2361
chr3	8980591	9363053	SRGAP3	chr3	8960000	9310000	TAD_2467
chr3	44431705	44477670	ZNF445	chr3	44300000	44510000	TAD_2372
chr3	42600655	42648735	NKTR	chr3	42540000	42890000	TAD_2336
chr3	53884417	53891885	SELENOK	chr3	53720000	53890000	TAD_2545
chr3	51971426	51981196	ABHD14A	chr3	51940000	52140000	TAD_2412
chr3	126524155	126543291	CHST13	chr3	126500000	126650000	TAD_2546
chr3	74262568	74614659	CNTN3	chr3	74000000	75160000	TAD_2264
chr3	156825481	157046129	LEKR1	chr3	156530000	157140000	TAD_2297
chr3	119579268	119589945	ADPRH	chr3	119490000	119690000	TAD_2528
chr3	57293699	57544344	DNAH12	chr3	57080000	57860000	TAD_2288
chr3	184361710	184368596	POLR2H	chr3	184360000	184540000	TAD_2421
chr3	184361710	184368596	POLR2H	chr3	184360000	184800000	TAD_2322
chr3	32685145	32773875	CNOT10	chr3	32500000	32700000	TAD_2375
chr3	49683947	49689501	MST1	chr3	49520000	50200000	TAD_2324
chr3	66133610	66388116	SLC25A26	chr3	65760000	66190000	TAD_2423
chr3	151085286	151437072	MED12L	chr3	150890000	151150000	TAD_2506
chr3	47016428	47164113	SETD2	chr3	46920000	47370000	TAD_2458
chr3	184053047	184060673	HTR3C	chr3	183890000	184290000	TAD_2384
chr3	184097064	184106995	HTR3E	chr3	183890000	184290000	TAD_2384
chr3	184186095	184194012	ABCF3	chr3	183890000	184290000	TAD_2384
chr3	184186095	184194012	ABCF3	chr3	184130000	184290000	TAD_2535
chr3	9397615	9479240	SETD5	chr3	9340000	9480000	TAD_2318
chr3	183919934	184017939	ABCC5	chr3	183890000	184290000	TAD_2384
chr3	184031544	184039369	HTR3D	chr3	183890000	184290000	TAD_2384
chr3	184155377	184173614	DVL3	chr3	183890000	184290000	TAD_2384
chr3	184155377	184173614	DVL3	chr3	184130000	184290000	TAD_2535
